TeamName,StoryPts,Deployed,Priority,LeadTime
ORYON,3,FALSE,1,67.68746524
ORYON,3,FALSE,1,67.68707657
VOYAGEURS,3,TRUE,3,66.99576733
ENT,2,TRUE,3,66.924462
ASSESS,2,FALSE,3,66.74656308
ENT,2,TRUE,3,66.71093843
DENALI,,FALSE,3,66.47197492
KMJ,,FALSE,3,66.21434699
ODYSSEY,1,TRUE,3,65.98824939
BADLANDS,5,TRUE,3,65.9150311
MATRIX,0,TRUE,3,65.75197928
ACADIA,3,TRUE,2,65.22628924
ACADIA,1,TRUE,2,65.22600463
KMJ,0,TRUE,3,65.03184152
MATRIX,0,TRUE,3,64.8258206
MATRIX,2,TRUE,3,64.82432743
MATRIX,2,TRUE,3,64.82304059
KMJ,0,TRUE,3,64.73097388
PLANETX,1,TRUE,3,64.34762133
PLANETX,2,TRUE,3,64.34753796
PLANETX,5,TRUE,3,64.34713241
PLANETX,3,TRUE,3,64.34683168
SAHARA,3,TRUE,3,64.22730744
KMJ,0,TRUE,3,64.02201488
ODYSSEY,2,TRUE,1,63.87119251
VOYAGEURS,2,TRUE,2,63.80753488
VOYAGEURS,2,TRUE,1,63.23625316
YELLOWSTON,3,TRUE,3,63.14894638
YELLOWSTON,3,TRUE,3,63.04481806
KMJ,5,TRUE,3,63.03137747
MATRIX,2,TRUE,3,62.64649822
ENT,2,TRUE,3,62.35536913
VOLTRON,5,TRUE,3,62.08905992
VOYAGEURS,,TRUE,3,62.00620509
ASSESS,2,TRUE,3,61.95110456
FJORD,3,TRUE,3,61.931802
DENALI,5,TRUE,3,61.92358877
DENALI,5,TRUE,3,61.91706574
YELLOWSTON,5,TRUE,3,61.87980493
DENALI,5,TRUE,3,61.82074993
ODYSSEY,5,TRUE,1,61.69263753
DENALI,3,TRUE,1,61.04414792
ENT,2,TRUE,3,60.96793527
ASSESS,0,TRUE,1,60.89184892
ODYSSEY,2,TRUE,1,60.83016512
ASSESS,8,FALSE,3,60.78116331
PLANETX,5,TRUE,3,60.68277828
MATRIX,0,TRUE,3,60.06092068
ASSESS,2,FALSE,3,59.99111057
YELLOWSTON,5,TRUE,4,59.92850046
BADLANDS,1,TRUE,3,59.90713642
MATRIX,0,TRUE,3,59.89068024
PNL,5,FALSE,3,59.80434826
ODYSSEY,2,TRUE,1,59.75341458
ACADIA,8,TRUE,2,59.68680304
FJORD,2,TRUE,3,59.60410336
FJORD,3,TRUE,3,59.38294387
YELLOWSTON,3,TRUE,2,58.95315734
YELLOWSTON,3,TRUE,1,58.72177315
ODYSSEY,2,TRUE,1,57.98234259
BADLANDS,2,TRUE,3,57.89512149
KMJ,2,TRUE,3,57.28980903
BR,1,TRUE,3,57.04824997
DENALI,5,TRUE,3,56.91434734
FJORD,3,TRUE,3,56.87250637
DENALI,8,TRUE,3,56.77022508
PNL,1,FALSE,3,56.50718441
VOYAGEURS,3,TRUE,3,56.08402265
ASSESS,1,TRUE,2,56.01206786
MATRIX,1,TRUE,3,55.90478264
ASSESS,1,FALSE,1,55.85801554
PNL,2,FALSE,3,55.73022277
DENALI,3,TRUE,2,55.69308603
DENALI,2,TRUE,3,55.21804843
KMJ,2,TRUE,3,55.15800243
PNL,2,TRUE,3,55.15777828
DENALI,1,TRUE,4,55.03726539
ASSESS,0,TRUE,1,55.02505084
ENT,3,TRUE,3,54.72202978
FJORD,2,TRUE,3,54.49941366
ODYSSEY,3,TRUE,3,54.11978117
ORYON,3,FALSE,1,53.8573201
ORYON,3,FALSE,1,53.85731748
ORYON,5,FALSE,1,53.85729587
ORYON,2,FALSE,1,53.8571645
KMJ,8,TRUE,3,53.10060602
ORYON,3,FALSE,3,52.93218649
KMJ,5,TRUE,3,52.88595856
CONFIG,3,TRUE,3,52.253135
KMJ,2,TRUE,3,51.96689715
KMJ,2,TRUE,3,51.96662635
DENALI,8,TRUE,2,51.95715683
DENALI,2,TRUE,2,51.94641204
SAHARA,1,TRUE,3,50.98680914
ODYSSEY,2,TRUE,1,50.94873067
VOYAGEURS,,FALSE,3,50.05009275
ASSESS,3,FALSE,3,49.91724988
ASSESS,2,FALSE,3,49.91663044
ENT,,FALSE,3,49.79527299
FJORD,5,TRUE,3,49.51874155
FJORD,3,TRUE,3,49.47668816
ODYSSEY,5,TRUE,3,49.31810304
YELLOWSTON,5,TRUE,3,49.19107095
BASECAMP,3,TRUE,3,49.0536733
VOYAGEURS,1,TRUE,3,48.9885152
VOYAGEURS,3,TRUE,3,48.98845906
ODYSSEY,2,TRUE,1,48.92507824
YELLOWSTON,8,TRUE,2,48.91225377
VOYAGEURS,5,FALSE,3,48.90257052
ASSESS,8,TRUE,3,48.86939352
ENT,1,TRUE,3,48.74587601
ENT,2,TRUE,3,48.74547981
ENT,2,TRUE,3,48.73031971
ENT,3,TRUE,3,48.24680756
VOYAGEURS,1,TRUE,3,48.24509507
