Team,In Refine,In Dev,In Test,Ready For Dev,Ready For Test,Ready For Accept
ORYON,24.84,5.77,9.17,7.17,1.16,4.81
ORYON,0.00,27.63,0.00,15.33,0.00,0.00
ORYON,25.77,0.00,1.23,6.94,1.96,4.25
ORYON,5.83,10.92,7.19,7.95,1.08,6.88
ORYON,5.83,1.83,3.24,20.02,4.00,4.95
ORYON,10.82,2.10,20.26,1.97,3.76,0.94
ORYON,22.05,0.99,0.00,6.15,0.00,5.97
ORYON,13.94,1.12,0.28,6.90,1.86,4.02
ORYON,0.00,1.34,5.20,13.93,1.66,5.95
ORYON,0.00,1.28,8.07,14.00,0.62,4.12
ORYON,0.00,2.22,20.16,0.74,3.90,0.90
ORYON,12.81,0.35,0.03,6.18,1.57,6.04
ORYON,5.84,9.01,4.00,5.86,0.00,0.98
ORYON,10.72,0.98,5.10,2.01,0.00,6.88
ORYON,10.71,5.98,0.00,8.99,0.00,0.00
ORYON,5.83,1.99,1.11,5.87,0.01,10.14
ORYON,0.00,12.97,0.06,1.00,3.34,3.87
ORYON,0.00,6.33,1.05,7.01,0.60,6.26
ORYON,0.00,1.27,1.06,5.92,0.76,10.86
ORYON,0.00,1.92,3.97,6.11,0.99,6.89
ORYON,0.00,1.50,4.26,6.33,0.10,7.67
ORYON,0.00,3.96,3.13,8.03,0.87,3.88
ORYON,0.00,0.04,4.21,6.14,1.76,7.73
ORYON,5.91,13.75,0.00,0.20,0.00,0.00
ORYON,0.00,5.02,0.00,0.00,13.91,0.00
ORYON,0.00,5.98,0.00,8.99,0.00,0.00
ORYON,0.00,0.21,0.00,13.95,0.81,0.00
ORYON,0.00,6.94,0.00,8.03,0.00,0.00
ORYON,0.00,3.13,5.99,1.02,4.84,0.00
ORYON,0.00,1.89,5.93,0.10,0.16,6.30
ORYON,0.00,12.95,0.00,1.26,0.00,0.00
ORYON,0.00,4.15,0.00,2.03,0.89,7.10
ORYON,0.00,0.00,1.61,6.18,0.70,5.67
ORYON,0.00,5.88,1.03,7.12,0.00,0.11
ORYON,0.00,1.00,3.97,0.89,0.04,8.20
ORYON,0.00,0.00,0.00,13.98,0.00,0.00
ORYON,7.79,0.00,0.00,6.19,0.00,0.00
ORYON,0.00,5.26,1.01,1.99,0.03,5.68
ORYON,0.00,12.75,1.00,0.20,0.00,0.00
ORYON,0.00,13.83,0.00,0.11,0.00,0.00
ORYON,0.00,13.00,0.00,0.93,0.00,0.00
ORYON,0.00,13.05,0.00,0.88,0.00,0.00
ORYON,0.00,13.03,0.00,0.90,0.00,0.00
ORYON,0.00,7.96,0.00,5.96,0.00,0.00
ORYON,0.00,13.00,0.00,0.93,0.00,0.00
ORYON,0.00,0.00,13.03,0.00,0.90,0.00
ORYON,0.00,0.00,13.00,0.00,0.93,0.00
ORYON,2.04,6.83,1.41,0.00,0.04,3.61
ORYON,0.78,6.01,5.06,0.11,1.11,0.86
ORYON,0.00,1.15,7.03,0.10,0.69,4.95
ORYON,0.78,0.54,4.00,0.11,0.50,8.00
ORYON,6.94,0.38,3.88,1.23,0.50,0.99
ORYON,0.84,8.75,0.19,0.38,2.93,0.82
ORYON,0.00,5.22,0.00,7.94,0.02,0.00
ORYON,0.00,12.75,0.00,0.20,0.00,0.21
ORYON,0.00,12.98,0.00,0.18,0.00,0.00
ORYON,0.00,3.99,6.00,2.96,0.00,0.00
ORYON,0.00,6.00,0.00,6.94,0.00,0.00
ORYON,0.00,5.29,1.99,2.90,0.00,2.74
ORYON,0.00,7.06,0.00,0.22,0.14,0.00
ORYON,0.00,7.07,0.14,5.06,0.00,0.00
ORYON,0.00,12.18,0.00,0.00,0.00,0.00
ORYON,0.00,6.86,3.76,0.00,1.27,0.18
ORYON,10.71,0.23,0.00,0.99,0.01,0.00
ORYON,0.00,1.80,0.00,8.19,0.00,0.00
ORYON,0.00,0.00,0.00,9.88,0.00,0.01
ORYON,0.00,0.00,0.00,7.99,0.00,0.00
ORYON,0.00,1.67,0.00,6.27,0.00,0.00
ORYON,0.00,0.00,0.00,2.90,0.00,4.98
ORYON,0.00,2.01,0.00,5.86,0.00,0.02
ORYON,0.00,0.00,0.00,7.16,0.00,0.00
ORYON,0.00,1.01,2.98,0.00,1.97,0.75
ORYON,0.00,1.73,2.99,0.00,1.24,0.75
ORYON,0.00,4.02,0.00,1.97,0.00,0.18
ORYON,0.00,0.00,0.00,3.16,0.00,2.73
ORYON,0.00,3.10,0.00,0.00,0.00,0.00
ORYON,0.00,2.03,0.00,0.90,0.00,0.00
ORYON,0.00,0.00,0.00,0.00,0.00,0.00
ODYSSEY,27.97,58.81,0.03,45.98,1.05,0.00
ODYSSEY,33.25,57.97,0.06,40.82,1.05,0.00
ODYSSEY,0.00,5.02,0.19,118.77,2.91,0.00
ODYSSEY,0.68,9.32,0.00,0.00,108.92,0.00
ODYSSEY,0.00,8.71,0.12,107.04,0.03,0.00
ODYSSEY,0.00,0.99,0.50,103.97,7.57,0.84
ODYSSEY,0.00,3.25,0.18,103.84,4.70,0.82
ODYSSEY,0.00,5.98,0.00,105.90,0.06,0.00
ODYSSEY,0.00,21.51,0.25,76.96,10.36,2.66
ODYSSEY,0.00,2.94,0.13,103.93,3.97,0.00
ODYSSEY,0.00,21.97,0.09,81.14,5.72,0.08
ODYSSEY,0.00,5.99,0.98,92.85,0.10,0.11
ODYSSEY,0.00,9.10,0.07,80.93,0.78,0.01
ODYSSEY,0.00,5.08,0.25,78.99,0.78,0.64
ODYSSEY,0.00,9.14,0.00,70.98,4.91,0.00
ODYSSEY,0.00,4.93,0.17,71.96,0.01,5.63
ODYSSEY,0.00,24.67,0.26,56.04,0.12,0.66
ODYSSEY,0.00,0.08,0.02,77.95,2.87,0.00
ODYSSEY,28.09,4.99,0.00,40.98,1.98,0.00
ODYSSEY,28.10,4.13,0.07,42.70,0.22,0.57
ODYSSEY,0.00,0.93,0.00,62.06,0.02,11.09
ODYSSEY,31.06,6.13,0.02,34.84,0.95,0.00
ODYSSEY,0.00,22.09,1.27,46.78,0.92,0.62
ODYSSEY,0.00,6.77,0.97,63.13,0.03,0.05
ODYSSEY,28.08,1.84,0.02,40.00,0.08,0.00
ODYSSEY,0.00,1.93,0.01,61.98,0.02,0.20
ODYSSEY,0.00,10.99,2.29,54.80,0.05,0.57
ODYSSEY,0.00,0.01,0.00,63.25,0.01,2.72
ODYSSEY,29.30,2.16,0.10,27.63,3.95,0.73
ODYSSEY,0.00,11.96,6.00,41.80,1.19,0.73
ODYSSEY,0.00,0.07,0.04,60.72,0.01,0.00
ODYSSEY,0.00,5.30,2.77,49.86,1.83,0.00
ODYSSEY,0.00,8.96,0.30,47.20,0.96,0.56
ODYSSEY,0.00,3.34,2.86,33.05,0.00,0.00
ODYSSEY,0.00,3.10,1.03,43.89,2.92,0.00
ODYSSEY,0.00,47.07,0.00,0.06,2.19,0.00
ODYSSEY,0.00,1.22,0.12,46.91,0.64,0.04
ODYSSEY,0.00,12.98,0.00,0.00,34.94,0.00
ODYSSEY,0.00,12.98,0.00,0.00,34.94,0.00
ODYSSEY,0.00,12.98,0.00,0.00,34.94,0.00
ODYSSEY,0.00,12.98,0.00,0.00,34.94,0.00
ODYSSEY,0.00,2.05,0.02,41.69,4.06,0.00
ODYSSEY,0.09,28.19,0.10,15.09,0.80,2.73
ODYSSEY,0.00,1.97,1.04,34.19,5.97,0.61
ODYSSEY,0.00,0.08,0.00,40.83,0.09,0.00
ODYSSEY,7.29,2.04,2.56,27.41,0.99,0.68
ODYSSEY,0.00,1.11,0.00,39.70,0.12,0.01
ODYSSEY,0.00,11.17,0.00,27.69,0.03,0.01
ODYSSEY,3.78,6.72,0.00,29.28,0.06,0.00
ODYSSEY,0.00,10.97,0.00,27.93,0.00,0.00
ODYSSEY,0.00,0.00,0.00,37.81,0.00,0.00
ODYSSEY,19.98,12.25,0.00,1.88,0.00,0.00
ODYSSEY,0.00,10.93,0.00,21.76,0.00,1.06
ODYSSEY,0.00,1.95,0.10,29.76,1.02,0.01
ODYSSEY,0.00,21.02,7.20,0.00,2.81,0.00
ODYSSEY,0.00,5.92,0.00,25.07,0.00,0.00
ODYSSEY,16.17,6.00,0.22,6.95,0.04,0.73
ODYSSEY,0.00,10.78,0.00,0.00,16.02,0.00
ODYSSEY,0.00,13.11,1.17,0.00,0.87,0.01
ODYSSEY,0.00,0.16,0.00,0.00,19.86,0.00
ODYSSEY,20.02,0.03,0.03,1.78,0.00,0.00
ODYSSEY,0.00,12.01,2.14,0.00,7.89,0.67
ODYSSEY,0.00,4.16,0.00,14.09,0.00,2.93
ODYSSEY,21.12,0.00,0.00,0.00,0.00,0.00
ODYSSEY,21.05,0.00,0.00,0.00,0.00,0.00
ODYSSEY,20.33,0.00,0.00,0.00,0.00,0.00
ODYSSEY,0.00,0.00,0.00,20.07,0.00,0.02
ODYSSEY,0.00,0.01,0.00,0.00,17.88,0.00
ODYSSEY,0.00,0.00,0.00,19.91,0.00,0.00
ODYSSEY,0.00,12.98,0.00,0.00,6.90,0.00
ODYSSEY,4.16,10.05,0.00,0.84,0.00,3.06
ODYSSEY,0.00,16.03,0.00,0.00,0.00,0.00
ODYSSEY,2.16,1.03,0.00,6.78,5.04,0.00
ODYSSEY,8.10,4.92,0.01,0.00,0.27,0.68
ODYSSEY,2.99,0.98,0.00,8.94,1.07,0.00
ODYSSEY,0.00,0.00,0.00,13.95,0.00,0.00
ODYSSEY,7.87,5.95,0.00,0.00,0.00,0.00
ODYSSEY,0.00,12.10,0.00,1.15,0.00,0.00
ODYSSEY,0.00,12.87,0.00,0.00,0.00,0.00
ODYSSEY,0.00,12.18,0.00,0.00,0.00,0.00
ODYSSEY,0.00,12.13,0.00,0.00,0.00,0.00
ODYSSEY,0.00,7.02,0.00,4.93,0.00,0.07
ODYSSEY,0.00,3.05,0.00,8.94,0.00,0.00
ODYSSEY,0.00,11.02,0.00,0.96,0.00,0.00
ODYSSEY,0.00,11.12,0.00,0.00,0.00,0.00
ODYSSEY,0.00,11.11,0.00,0.00,0.00,0.00
ODYSSEY,0.00,10.67,0.00,0.00,0.00,0.00
ODYSSEY,0.00,9.98,0.00,0.00,0.00,0.03
ODYSSEY,0.00,8.97,0.00,0.00,0.00,0.00
ODYSSEY,0.00,0.24,0.00,7.90,0.81,0.00
ODYSSEY,0.00,8.94,0.00,0.00,0.00,0.00
ODYSSEY,0.00,4.95,0.02,0.00,3.19,0.00
ODYSSEY,0.00,7.15,0.00,0.00,0.84,0.00
ODYSSEY,4.92,2.13,0.08,0.00,0.01,0.00
ODYSSEY,0.00,0.99,0.09,0.00,6.05,0.00
ODYSSEY,0.14,5.00,0.06,0.02,1.02,0.57
ODYSSEY,0.00,0.00,0.00,5.91,0.85,0.00
ODYSSEY,0.00,1.85,0.00,0.00,0.00,4.17
ODYSSEY,0.00,1.82,0.09,0.00,1.03,2.78
ODYSSEY,0.00,1.02,0.00,3.99,0.00,0.00
ODYSSEY,4.03,0.00,0.04,0.00,0.00,0.00
ODYSSEY,0.00,0.00,0.00,0.00,0.00,0.00
ODYSSEY,0.96,0.00,0.00,1.99,0.00,0.00
ODYSSEY,0.00,2.90,0.00,0.00,0.00,0.00
ODYSSEY,0.00,2.02,0.03,0.00,0.05,0.03
ODYSSEY,0.05,0.79,0.00,0.00,1.07,0.00
ODYSSEY,0.02,0.24,0.00,0.00,0.00,0.00
ODYSSEY,0.00,0.00,0.00,0.00,0.05,0.00
ODYSSEY,0.00,0.00,0.00,0.00,0.00,0.00
ODYSSEY,0.00,0.00,0.00,0.00,0.00,0.00
ODYSSEY,0.00,0.00,0.00,0.00,0.00,0.00
ODYSSEY,0.00,0.00,0.00,0.00,0.00,0.00
ODYSSEY,0.00,0.00,0.00,0.00,0.00,0.00
ODYSSEY,0.00,0.00,0.00,0.00,0.00,0.00
MATRIX,69.33,3.06,0.99,39.62,2.94,0.01
MATRIX,4.09,0.07,0.00,109.60,0.02,0.00
MATRIX,3.39,0.00,0.00,72.78,40.81,0.00
MATRIX,83.95,3.88,0.16,21.95,0.00,0.09
MATRIX,4.10,2.13,0.02,99.53,3.08,0.02
MATRIX,4.11,5.96,0.67,94.67,0.31,0.16
MATRIX,4.10,5.96,0.69,94.67,0.31,0.14
MATRIX,4.97,1.97,0.17,55.89,34.85,0.93
MATRIX,0.00,0.00,21.07,72.78,0.82,3.89
MATRIX,4.15,0.00,0.00,93.60,0.00,0.00
MATRIX,0.00,0.75,0.00,92.86,0.00,0.00
MATRIX,0.00,23.06,2.91,65.13,0.00,0.00
MATRIX,5.40,0.00,17.88,56.79,2.59,0.13
MATRIX,4.14,0.00,4.58,72.78,0.01,0.20
MATRIX,0.00,1.85,0.00,72.34,4.92,0.00
MATRIX,0.00,16.95,0.43,60.06,0.00,0.75
MATRIX,4.09,0.00,0.00,73.63,0.00,0.00
MATRIX,4.97,8.96,28.99,30.86,3.44,0.46
MATRIX,4.97,0.00,16.58,55.68,0.00,0.45
MATRIX,4.16,2.00,0.47,69.67,0.62,0.02
MATRIX,4.15,0.01,0.00,70.87,0.71,0.00
MATRIX,4.18,5.01,0.00,64.66,1.00,0.25
MATRIX,4.17,5.01,0.02,64.66,1.00,0.23
MATRIX,0.00,2.00,0.10,69.67,0.99,0.02
MATRIX,0.00,4.01,0.00,65.66,2.60,0.40
MATRIX,0.00,4.01,0.01,65.66,2.60,0.39
MATRIX,0.00,0.93,0.00,70.67,0.00,0.00
MATRIX,5.21,1.01,0.04,56.63,5.12,0.09
MATRIX,26.98,1.97,0.75,33.02,0.00,3.03
MATRIX,4.97,4.02,0.00,55.69,0.14,0.00
MATRIX,55.65,5.97,2.09,0.99,0.04,0.08
MATRIX,4.97,5.97,2.09,51.67,0.04,0.08
MATRIX,4.97,5.95,1.01,50.68,0.03,0.01
MATRIX,0.00,0.05,2.03,57.11,0.00,0.87
MATRIX,26.81,0.95,0.00,32.13,0.00,0.00
MATRIX,16.92,4.88,0.52,28.97,1.14,3.48
MATRIX,5.21,0.00,1.03,36.68,0.98,3.91
MATRIX,0.00,1.01,0.00,39.77,5.26,0.78
MATRIX,5.06,9.01,5.69,22.84,0.28,0.95
MATRIX,2.27,5.25,4.73,26.78,1.66,0.40
MATRIX,0.00,4.12,0.00,34.81,0.06,0.00
MATRIX,0.00,4.11,0.00,34.81,0.00,0.07
MATRIX,6.03,2.06,2.88,26.91,0.01,0.37
MATRIX,6.03,2.06,2.88,26.91,0.01,0.37
MATRIX,5.06,1.00,0.25,22.84,3.99,0.99
MATRIX,0.09,5.23,0.00,27.58,0.00,0.00
MATRIX,5.14,0.99,0.08,22.68,3.91,0.09
MATRIX,0.00,11.97,0.00,19.95,0.01,0.00
MATRIX,7.07,10.00,7.00,4.90,0.99,0.02
MATRIX,0.00,0.00,0.00,0.00,26.84,0.00
MATRIX,0.00,0.00,23.80,0.00,0.00,0.00
MATRIX,0.00,20.98,2.08,0.00,0.02,0.09
MATRIX,0.00,20.98,2.08,0.00,0.02,0.09
MATRIX,4.87,6.07,0.87,6.96,1.03,1.09
MATRIX,5.06,0.99,4.70,8.84,0.01,1.27
MATRIX,0.00,10.86,0.00,7.15,0.00,0.00
MATRIX,2.08,0.78,0.00,13.13,0.01,0.04
MATRIX,2.08,0.00,0.00,13.87,0.00,0.00
MATRIX,0.00,5.78,0.27,7.02,1.91,0.81
MATRIX,1.09,0.00,0.12,9.19,3.00,0.69
MATRIX,0.00,0.13,0.00,10.87,2.84,0.11
MATRIX,0.00,5.16,0.00,7.99,0.00,0.01
MATRIX,0.00,13.01,0.00,0.00,0.00,0.00
MATRIX,0.00,0.01,0.00,12.86,0.01,0.02
MATRIX,0.00,4.19,0.00,7.71,0.00,0.68
MATRIX,3.01,1.04,0.00,6.94,0.12,0.83
MATRIX,0.00,0.19,0.00,9.83,0.00,0.87
MATRIX,0.00,9.99,0.00,0.19,0.00,0.01
MATRIX,0.00,0.14,0.00,9.99,0.00,0.00
MATRIX,0.00,5.02,0.00,0.00,2.01,2.90
MATRIX,9.01,0.00,0.00,0.00,0.00,0.00
MATRIX,0.00,0.03,0.00,7.72,0.08,0.00
MATRIX,0.00,5.01,0.00,1.02,0.02,1.01
MATRIX,0.96,0.77,0.00,0.26,4.18,0.03
MATRIX,6.02,0.00,0.00,0.00,0.00,0.00
MATRIX,0.96,0.00,0.00,1.24,3.76,0.01
MATRIX,0.00,0.27,0.02,3.95,0.66,0.30
MATRIX,0.00,1.02,0.00,0.00,3.00,0.02
MATRIX,0.00,3.03,0.00,0.00,0.00,0.00
MATRIX,0.00,1.96,0.00,0.00,0.05,0.00
MATRIX,0.00,0.86,0.00,0.00,0.04,0.27
MATRIX,0.00,0.00,0.00,0.00,0.00,0.00
MATRIX,0.00,0.00,0.00,0.00,0.00,0.00
MATRIX,0.00,0.00,0.00,0.00,0.00,0.00
MATRIX,0.00,0.00,0.00,0.00,0.00,0.00
MATRIX,0.00,0.00,0.00,0.00,0.00,0.00
MATRIX,0.00,0.00,0.00,0.00,0.00,0.00
MATRIX,0.00,0.00,0.00,0.00,0.00,0.00
MATRIX,0.00,0.00,0.00,0.00,0.00,0.00
MATRIX,0.00,0.00,0.00,0.00,0.00,0.00
KMJ,94.26,12.00,1.03,0.00,0.72,0.04
KMJ,38.96,42.86,0.99,18.19,0.03,0.02
KMJ,86.14,0.00,0.00,0.00,0.00,0.00
KMJ,31.88,6.83,2.63,0.98,28.70,6.82
KMJ,48.17,11.07,1.06,2.93,1.88,11.84
KMJ,48.18,7.12,1.82,13.75,1.19,0.95
KMJ,58.99,10.52,0.10,0.00,2.67,0.71
KMJ,48.18,13.91,0.00,8.89,0.03,0.00
KMJ,66.21,0.00,0.00,0.00,0.00,0.00
KMJ,57.00,0.00,1.02,6.98,0.03,0.00
KMJ,41.90,6.98,0.00,15.82,0.03,0.00
KMJ,41.19,6.81,0.00,15.99,0.03,0.00
KMJ,48.17,6.97,0.99,2.13,4.77,0.01
KMJ,48.17,1.93,0.02,0.94,4.03,2.20
KMJ,42.86,2.04,1.26,3.26,0.68,5.05
KMJ,33.06,13.04,1.28,0.01,0.96,4.73
KMJ,25.91,4.02,6.05,3.00,2.02,11.87
KMJ,35.08,8.00,0.31,2.90,3.94,1.74
KMJ,35.08,0.00,1.31,10.90,3.94,0.74
KMJ,44.87,1.93,0.00,0.00,0.26,0.00
KMJ,24.76,7.28,1.96,2.01,5.73,5.30
KMJ,44.85,1.93,0.00,0.00,0.26,0.00
KMJ,35.08,6.00,0.00,2.90,1.05,0.98
KMJ,42.17,1.92,0.00,0.00,0.26,0.00
KMJ,26.89,2.11,11.09,0.00,0.86,0.10
KMJ,0.00,0.00,0.00,41.02,0.00,0.00
KMJ,24.79,2.97,4.11,5.94,0.07,0.02
KMJ,24.77,0.90,8.03,0.03,1.12,2.89
KMJ,29.09,0.72,0.24,1.21,1.01,2.74
KMJ,25.90,0.81,3.01,1.21,4.00,0.02
KMJ,26.05,1.92,1.65,0.00,0.25,0.00
KMJ,26.88,1.92,0.00,0.00,0.26,0.00
KMJ,22.08,1.06,0.25,0.00,4.69,0.76
KMJ,24.91,1.25,0.00,0.99,0.00,0.70
KMJ,0.00,7.85,6.99,0.00,2.02,10.95
KMJ,3.19,6.81,1.02,15.99,0.03,0.00
KMJ,19.02,6.81,1.02,0.17,0.03,0.00
KMJ,19.89,4.04,0.00,2.02,0.01,0.00
KMJ,0.00,2.02,2.01,14.99,4.78,0.22
KMJ,0.00,9.23,3.03,7.87,0.83,0.85
KMJ,7.84,2.25,0.13,7.01,3.82,0.10
KMJ,0.00,2.74,3.12,14.12,1.09,0.06
KMJ,0.00,0.86,0.09,17.08,3.03,0.06
KMJ,0.00,21.03,0.00,0.00,0.00,0.00
KMJ,0.00,0.00,0.90,16.96,0.24,2.73
KMJ,1.14,11.98,0.00,4.96,0.96,0.00
KMJ,0.00,14.28,0.00,0.00,0.00,2.77
KMJ,4.87,2.02,0.00,9.14,0.00,0.00
KMJ,4.98,2.19,2.94,1.00,3.84,0.01
KMJ,0.00,0.00,0.00,14.06,0.00,0.00
KMJ,4.87,6.26,0.08,0.83,0.82,0.11
KMJ,0.01,1.92,0.00,10.13,0.26,0.00
KMJ,5.03,7.02,0.00,0.00,0.26,0.00
KMJ,0.00,4.77,2.94,0.00,3.27,0.77
KMJ,0.00,4.08,0.00,2.01,4.08,0.78
KMJ,0.00,5.00,1.09,2.08,0.94,0.04
KMJ,0.00,2.05,0.12,2.18,3.85,0.95
KMJ,7.02,0.00,0.00,0.00,0.02,0.00
KMJ,0.00,1.99,1.14,0.98,1.95,0.91
KMJ,0.00,0.26,1.02,1.03,0.96,2.77
KMJ,0.00,0.00,0.17,0.00,0.00,2.75
KMJ,0.00,2.20,0.00,0.00,0.00,0.00
KMJ,0.00,0.22,0.00,0.00,0.03,0.00
KMJ,0.00,0.00,0.00,0.00,0.00,0.00
KMJ,0.00,0.00,0.00,0.00,0.00,0.00
KMJ,0.00,0.00,0.00,0.00,0.00,0.00
KMJ,0.00,0.00,0.00,0.00,0.00,0.00
KMJ,0.00,0.00,0.00,0.00,0.00,0.00
KMJ,0.00,0.00,0.00,0.00,0.00,0.00
KMJ,0.00,0.00,0.00,0.00,0.00,0.00
KMJ,0.00,0.00,0.00,0.00,0.00,0.00
KMJ,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,73.97,2.96,0.93,0.00,9.10,0.01
FJORD,0.00,4.79,3.48,47.85,5.16,0.65
FJORD,0.00,3.99,0.07,11.68,43.84,0.03
FJORD,23.04,5.15,14.97,11.33,0.09,4.81
FJORD,0.00,5.77,1.01,49.99,0.08,0.01
FJORD,0.55,1.07,36.77,12.84,3.24,0.03
FJORD,22.64,0.98,8.69,14.68,1.45,1.08
FJORD,0.00,2.07,0.30,43.35,3.12,0.64
FJORD,2.46,12.12,1.04,10.53,3.14,0.02
FJORD,0.00,0.00,0.00,45.42,0.00,0.00
FJORD,0.00,7.14,1.85,28.42,0.11,6.94
FJORD,0.00,6.44,0.15,0.00,33.66,2.76
FJORD,0.00,0.86,3.97,34.51,0.11,0.18
FJORD,0.00,1.00,3.94,34.51,0.02,0.16
FJORD,0.00,2.24,4.92,31.48,0.79,0.17
FJORD,0.00,3.10,1.10,32.55,0.03,0.21
FJORD,0.00,5.98,8.23,18.47,4.01,0.01
FJORD,0.00,5.97,3.19,24.43,3.07,0.01
FJORD,2.01,2.06,5.01,20.74,4.00,0.12
FJORD,2.25,0.00,0.02,25.08,3.01,0.97
FJORD,19.50,2.23,4.59,0.05,0.29,0.96
FJORD,19.03,0.00,2.14,0.68,0.88,3.91
FJORD,0.00,1.14,2.84,19.67,1.05,0.93
FJORD,0.00,0.00,1.27,20.93,1.90,1.04
FJORD,0.00,4.69,10.25,6.02,0.26,2.68
FJORD,0.00,9.02,4.19,6.81,1.86,0.89
FJORD,0.00,2.06,4.92,14.55,0.09,0.96
FJORD,0.00,0.49,0.36,19.74,0.47,1.00
FJORD,0.00,1.28,4.30,0.95,11.69,2.73
FJORD,0.00,0.99,7.96,10.97,0.19,0.73
FJORD,0.00,5.99,2.73,0.00,11.23,0.29
FJORD,5.47,5.64,2.95,1.74,2.95,1.17
FJORD,0.00,1.36,4.67,9.58,1.85,0.08
FJORD,0.00,0.00,3.58,0.00,11.10,1.06
FJORD,0.00,0.24,0.53,2.60,0.02,0.08
FJORD,0.00,1.87,6.73,0.00,4.23,2.17
FJORD,3.49,1.98,5.99,2.98,0.03,0.02
FJORD,0.07,3.21,1.22,2.08,2.54,4.07
FJORD,0.00,2.98,2.65,5.39,1.39,0.04
FJORD,0.10,5.79,3.00,0.00,2.30,0.79
FJORD,0.00,3.09,5.68,0.00,1.47,0.93
FJORD,0.00,0.99,3.10,4.13,0.52,0.08
FJORD,2.25,4.67,0.22,0.10,0.11,0.69
FJORD,0.00,4.93,0.00,0.00,0.01,0.20
FJORD,0.00,1.19,0.00,0.00,2.65,1.23
FJORD,0.00,4.27,0.00,0.00,0.08,0.25
FJORD,0.00,0.00,2.02,0.04,1.83,0.05
FJORD,0.00,0.00,0.75,0.00,0.00,0.00
FJORD,0.66,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
FJORD,0.00,0.00,0.00,0.00,0.00,0.00
ENT,67.76,6.23,1.03,0.00,0.92,6.11
ENT,53.78,9.90,5.16,5.99,0.07,7.14
ENT,67.78,0.95,0.03,0.94,1.21,11.14
ENT,46.95,0.00,5.85,17.10,0.00,6.31
ENT,68.91,0.00,0.00,0.00,0.00,1.07
ENT,68.90,0.00,0.00,0.00,0.00,1.07
ENT,40.77,7.27,5.85,0.98,0.88,12.20
ENT,53.78,6.01,0.12,0.02,0.96,6.04
ENT,39.79,0.00,9.98,7.24,0.00,9.70
ENT,33.10,7.19,0.11,16.11,0.66,5.20
ENT,27.87,23.17,0.00,6.08,0.70,3.15
ENT,0.00,0.96,0.26,40.85,0.99,11.66
ENT,49.80,0.00,0.00,0.00,0.00,0.00
ENT,0.00,0.98,0.00,42.80,4.16,0.80
ENT,0.00,1.15,0.00,41.86,4.92,0.80
ENT,0.00,0.00,0.00,44.36,3.75,0.63
ENT,0.02,35.08,0.03,7.02,1.91,4.19
ENT,39.97,2.05,0.01,0.00,0.94,4.85
ENT,41.11,0.92,0.08,0.00,0.95,4.77
ENT,39.97,2.05,0.00,0.00,1.03,4.76
ENT,26.84,2.82,0.16,7.10,0.15,3.70
ENT,0.00,2.76,0.26,27.01,5.19,5.54
ENT,23.77,0.00,0.07,3.01,0.98,10.13
ENT,21.80,2.97,0.06,2.91,2.23,5.75
ENT,21.80,1.98,2.11,0.94,4.02,4.89
ENT,20.00,4.16,0.80,2.08,2.85,4.03
ENT,14.13,0.98,1.10,7.00,4.92,5.79
ENT,0.00,7.71,0.13,20.10,0.05,5.77
ENT,17.83,0.88,0.00,2.04,3.13,3.84
ENT,0.00,1.25,0.00,0.00,0.00,0.00
ENT,0.00,11.77,9.01,0.96,0.00,5.30
ENT,0.84,0.00,0.00,0.00,13.17,12.94
ENT,0.95,12.08,0.07,0.00,3.85,9.92
ENT,12.96,0.21,3.28,0.83,4.73,4.73
ENT,12.79,7.96,0.00,0.02,0.00,4.95
ENT,2.86,6.40,0.05,0.93,0.76,13.78
ENT,3.04,1.23,0.22,7.72,0.83,11.75
ENT,0.00,0.00,0.00,23.12,0.00,0.00
ENT,0.82,2.90,0.01,7.02,4.10,6.89
ENT,7.93,0.00,0.08,2.82,3.16,7.72
ENT,7.91,0.00,0.84,2.82,3.18,6.95
ENT,7.91,0.67,0.08,2.14,0.00,10.89
ENT,7.91,2.04,0.00,0.07,0.70,10.97
ENT,16.75,0.00,0.00,0.00,0.01,4.94
ENT,7.91,0.97,6.05,1.10,0.75,4.91
ENT,7.91,0.02,0.00,2.12,0.67,10.97
ENT,7.91,2.05,9.94,0.77,0.00,1.03
ENT,7.79,0.03,0.00,0.00,1.13,12.75
ENT,7.91,0.02,0.20,2.80,0.00,10.77
ENT,5.86,3.00,0.09,5.97,0.00,4.88
